symbol,company_name,isin,exchange,market_cap_cr,category
MANAPPURAM,Manappuram Finance Limited,INE522D01027,NSE,23547.93,Small Cap
PNBHOUSING,PNB Housing Finance Limited,INE572E01012,NSE,23488.54,Small Cap
BRIGADE,Brigade Enterprises Limited,INE791I01019,NSE,23420.36,Small Cap
BAYERCROP,Bayer CropScience Limited.,INE462A01022,NSE,23405.2,Small Cap
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,NSE,23403.06,Small Cap
NSDL,National Securities Depository Limited,INE301O01023,BSE,23327.93,Small Cap
TIMKEN,Timken India Ltd,INE325A01013,NSE,23201.32,Small Cap
HSCL,Himadri Speciality Chemical Ltd.,INE019C01026,NSE,23187.58,Small Cap
FORCEMOT,Force Motors Limited,INE451A01017,NSE,23016.72,Small Cap
WELCORP,Welspun Corp Limited,INE191B01025,NSE,22985.44,Small Cap
TATACHEM,Tata Chemicals Ltd,INE092A01019,NSE,22735.57,Small Cap
ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,NSE,22695.8,Small Cap
ASTRAZEN,AstraZeneca Pharma India Ltd.,INE203A01020,NSE,22587.25,Small Cap
ERIS,Eris Lifesciences Limited,INE406M01024,NSE,22575.99,Small Cap
CESC,CESC Limited,INE486A01021,NSE,22519.78,Small Cap
HBLENGINE,HBL ENGINEERING LIMITED,INE292B01021,NSE,22518.28,Small Cap
SUNTV,SUN TV NETWORK LIMITED,INE424H01027,NSE,22229.99,Small Cap
KARURVYSYA,Karur Vysya Bank Ltd.,INE036D01028,NSE,22161.4,Small Cap
SAGILITY,Sagility Limited,INE0W2G01015,NSE,21899.85,Small Cap
JYOTICNC,Jyoti CNC Automation Limited,INE980O01024,NSE,21735.4,Small Cap
KEC,KEC International Ltd.,INE389H01022,NSE,21635.9,Small Cap
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,NSE,21631.63,Small Cap
IIFL,IIFL FINANCE LIMITED,INE530B01024,NSE,21399.02,Small Cap
REDINGTON,Redington Limited,INE891D01026,NSE,21393.34,Small Cap
HATSUN,Hatsun Agro Products Ltd.,INE473B01035,NSE,21362.07,Small Cap
CREDITACC,CreditAccess Grameen Ltd.,INE741K01010,NSE,21267.15,Small Cap
URBANCO,Urban Company Limited,INE0CAZ01013,NSE,21134.81,Small Cap
JSWHL,JSW Holdings Limited,INE824G01012,NSE,21058.08,Small Cap
PSB,PUNJAB & SIND BANK,INE608A01012,NSE,21025.85,Small Cap
ONESOURCE,Onesource Specialty Pharma Limited,INE013P01021,NSE,20905.1,Small Cap
KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED,INE220B01022,NSE,20882.01,Small Cap
ATHERENERG,Ather Energy Limited,INE0LEZ01016,NSE,20800.78,Small Cap
SUNDRMFAST,Sundram Fasteners Ltd.,INE387A01021,NSE,20687.05,Small Cap
ABREL,ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,NSE,20444.28,Small Cap
OLAELEC,Ola Electric Mobility Limited,INE0LXG01040,NSE,20390.6,Small Cap
CHALET,Chalet Hotels Limited,INE427F01016,NSE,20366.62,Small Cap
ANANTRAJ,Anant Raj Limited,INE242C01024,NSE,20345.19,Small Cap
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,INE085A01013,NSE,20316.86,Small Cap
ECLERX,eClerx Services Limited,INE738I01010,NSE,20101.05,Small Cap
CASTROLIND,Castrol India Ltd,INE172A01027,NSE,19988.33,Small Cap
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,INE839M01018,NSE,19958.37,Small Cap
POLYMED,Poly Medicure Ltd,INE205C01021,NSE,19949.29,Small Cap
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,NSE,19789.3,Small Cap
DEVYANI,Devyani International Limited,INE872J01023,NSE,19643.5,Small Cap
BASF,BASF India Ltd,INE373A01013,NSE,19609.81,Small Cap
TENNIND,Tenneco Clean Air India Limited,INE19RI01016,NSE,19601.35,Small Cap
KANSAINER,Kansai Nerolac Paints,INE531A01024,NSE,19574.58,Small Cap
NEULANDLAB,Neuland Laboratories Limited.,INE794A01010,NSE,19315.73,Small Cap
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,NSE,19298.54,Small Cap
CAMS,Computer Age Management Services Limited,INE596I01020,NSE,19277.76,Small Cap
EIDPARRY,E.I.D. Parry (India) Ltd.,INE126A01031,NSE,19276.89,Small Cap
KFINTECH,KFin Technologies Limited,INE138Y01010,NSE,19259.38,Small Cap
RPOWER,Reliance Power Limited,INE614G01033,NSE,19182.92,Small Cap
BIKAJI,Bikaji Foods International Limited,INE00E101023,NSE,18637.99,Small Cap
KAJARIACER,Kajaria Ceramics Ltd,INE217B01036,NSE,18608.94,Small Cap
ATUL,Atul Limited.,INE100A01010,NSE,18556.0,Small Cap
SARDAEN,Sarda Energy & Minerals Ltd,INE385C01021,NSE,18465.88,Small Cap
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED,INE901L01018,NSE,18407.13,Small Cap
DEEPAKFERT,Deepak Fertilizers &Petrochemicals,INE501A01019,NSE,18333.59,Small Cap
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,NSE,18304.09,Small Cap
JSWCEMENT,JSW CEMENT LIMITED,INE718I01012,NSE,18254.57,Small Cap
SAILIFE,Sai Life Sciences Limited,INE570L01029,NSE,18078.85,Small Cap
CGCL,Capri Global Capital Limited,INE180C01042,NSE,17988.86,Small Cap
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,NSE,17872.5,Small Cap
GRINDWELL,Grindwell Norton Ltd.,INE536A01023,NSE,17856.69,Small Cap
VINATIORGA,Vinati Organics Ltd.,INE410B01037,NSE,17782.96,Small Cap
MAHSCOOTER,Maharashtra Scooters Ltd.,INE288A01013,NSE,17760.01,Small Cap
JUBLPHARMA,JUBILANT PHARMOVA LIMITED,INE700A01033,NSE,17703.25,Small Cap
ZENSARTECH,Zensar Technologies Ltd.,INE520A01027,NSE,17687.81,Small Cap
FIVESTAR,Five-Star Business Finance Ltd.,INE128S01021,NSE,17603.38,Small Cap
TRITURBINE,Triveni Turbine Limited,INE152M01016,NSE,17481.04,Small Cap
RBLBANK,RBL Bank Limited,INE976G01028,NSE,17436.08,Small Cap
CARBORUNIV,Carborundum Universal Ltd.,INE120A01034,NSE,17435.69,Small Cap
RATNAMANI,Ratnamani Metals & Tubes Ltd,INE703B01027,NSE,17325.31,Small Cap
PGEL,PG Electroplast Limited,INE457L01029,NSE,17279.31,Small Cap
NAVA,NAVA LIMITED,INE725A01030,NSE,17264.41,Small Cap
VENTIVE,Ventive Hospitality Limited,INE781S01027,NSE,17263.04,Small Cap
CUB,City Union Bank Ltd,INE491A01021,NSE,17205.66,Small Cap
CENTURYPLY,Century Plyboards (India) Ltd.,INE348B01021,NSE,17174.87,Small Cap
BEML,BEML Ltd,INE258A01024,NSE,16944.15,Small Cap
MANYAVAR,Vedant Fashions Limited,INE825V01034,NSE,16924.84,Small Cap
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,NSE,16914.59,Small Cap
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,INE0NT901020,NSE,16708.98,Small Cap
TBOTEK,TBO TEK LIMITED,INE673O01025,NSE,16667.57,Small Cap
CONCORDBIO,Concord Biotech Limited,INE338H01029,NSE,16594.15,Small Cap
CPPLUS,Aditya Infotech Limited,INE819V01029,NSE,16507.09,Small Cap
TRAVELFOOD,TRAVEL FOOD SERVICES LIMITED,INE103V01028,NSE,16499.53,Small Cap
UTIAMC,UTI Asset Management Company Limited,INE094J01016,NSE,16423.46,Small Cap
SOBHA,Sobha Limited,INE671H01015,NSE,16409.07,Small Cap
LMW,LMW Limited,INE269B01029,NSE,16313.79,Small Cap
ACMESOLAR,ACME Solar Holdings Limited,INE622W01025,NSE,16264.0,Small Cap
IRCON,IRCON International Ltd,INE962Y01021,NSE,16191.11,Small Cap
GABRIEL,Gabriel India Ltd.,INE524A01029,NSE,16169.48,Small Cap
GMDCLTD,Gujarat Mineral Development Corpora,INE131A01031,NSE,16123.19,Small Cap
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,NSE,16017.41,Small Cap
CHOICEIN,Choice International Ltd,INE102B01014,NSE,15912.29,Small Cap
ELGIEQUIP,Elgi Equipments Ltd.,INE285A01027,NSE,15910.87,Small Cap
NATCOPHARM,Natco Pharma Ltd.,INE987B01026,NSE,15877.79,Small Cap
VGUARD,V-Guard Industries Ltd.,INE951I01027,NSE,15850.71,Small Cap
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,NSE,15829.39,Small Cap
CIEINDIA,CIE Automotive India Limited,INE536H01010,NSE,15771.38,Small Cap
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,INE903U01023,NSE,15770.01,Small Cap
TECHNOE,Techno Electric & Engineering Company Limited,INE285K01026,NSE,15740.69,Small Cap
WHIRLPOOL,Whirlpool of India Ltd,INE716A01013,NSE,15739.21,Small Cap
JMFINANCIL,JM Financial Limited,INE780C01023,NSE,15704.63,Small Cap
GPIL,GODAWARI POWER AND ISPAT LTD.,INE177H01039,NSE,15675.63,Small Cap
AFCONS,Afcons Infrastructure Limited,INE101I01011,NSE,15616.25,Small Cap
JSWDULUX,Akzo Nobel India Limited,INE133A01011,NSE,15608.4,Small Cap
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,NSE,15522.95,Small Cap
CAPLIPOINT,Caplin Point Laboratories Ltd.,INE475E01026,NSE,15500.24,Small Cap
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,NSE,15269.37,Small Cap
IGIL,International Gemmological Institute India Limited,INE0Q9301021,NSE,15203.98,Small Cap
DOMS,DOMS Industries Limited,INE321T01012,NSE,15194.7,Small Cap
LTFOODS,LT Foods Limited,INE818H01020,NSE,15104.75,Small Cap
KIRLOSBROS,Kirloskar Brothers Ltd.,INE732A01036,NSE,15093.19,Small Cap
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,NSE,15078.57,Small Cap
JBMA,JBM Auto Limited,INE927D01051,NSE,15064.37,Small Cap
RRKABEL,R R KABEL LIMITED,INE777K01022,NSE,15034.31,Small Cap
GESHIP,Great Eastern Shipping Co. Ltd.,INE017A01032,NSE,14945.3,Small Cap
GALLANTT,GALLANTT ISPAT LIMITED,INE297H01019,NSE,14940.4,Small Cap
IFCI,IFCI Ltd.,INE039A01010,NSE,14854.61,Small Cap
NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,INE995S01015,NSE,14765.78,Small Cap
INDIAMART,IndiaMART InterMESH Limited,INE933S01016,NSE,14757.04,Small Cap
PARADEEP,Paradeep Phosphates Limited,INE088F01024,NSE,14712.57,Small Cap
CEATLTD,Ceat Ltd.,INE482A01020,NSE,14685.86,Small Cap
TRIDENT,Trident Ltd,INE064C01022,NSE,14664.38,Small Cap
RAINBOW,Rainbow Children's Medicare Limited,INE961O01016,NSE,14494.92,Small Cap
INTELLECT,INTELLECT DESIGN ARENA LIMITED,INE306R01017,NSE,14480.72,Small Cap
SYRMA,Syrma SGS Technology Limited,INE0DYJ01015,NSE,14477.29,Small Cap
FINEORG,Fine Organic Industries Limited,INE686Y01026,NSE,14437.36,Small Cap
BATAINDIA,Bata India Limited,INE176A01028,NSE,14409.76,Small Cap
NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016,NSE,14409.65,Small Cap
SWANCORP,Swan Corp Limited,INE665A01038,NSE,14374.59,Small Cap
KIRLOSENG,Kirloskar Oil Engines Limited,INE146L01010,NSE,14318.36,Small Cap
BLS,BLS International Services Ltd,INE153T01027,NSE,14269.72,Small Cap
AARTIIND,Aarti Industries Ltd,INE769A01020,NSE,14251.43,Small Cap
THELEELA,Leela Palaces Hotels & Resorts Limited,INE0AQ201015,NSE,14179.96,Small Cap
EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,NSE,14165.69,Small Cap
SPLPETRO,Supreme Petrochem Ltd.,INE663A01033,NSE,14134.65,Small Cap
BLUEDART,Blue Dart Express Ltd.,INE233B01017,NSE,14035.83,Small Cap
ZYDUSWELL,Zydus Wellness Limited,INE768C01028,NSE,14012.13,Small Cap
KSB,KSB LIMITED,INE999A01023,NSE,13965.8,Small Cap
PCBL,PCBL Chemical Limited,INE602A01031,NSE,13920.09,Small Cap
JWL,JUPITER WAGONS LIMITED,INE209L01016,NSE,13827.32,Small Cap
CEMPRO,Cemindia Projects Limited,INE686A01026,NSE,13795.98,Small Cap
ZENTEC,Zen Technologies Ltd.,INE251B01027,NSE,13550.89,Small Cap
JAINREC,Jain Resource Recycling Limited,INE0YD401026,NSE,13341.2,Small Cap
IEX,Indian Energy Exchange Limited,INE022Q01020,NSE,13318.8,Small Cap
GODREJAGRO,Godrej Agrovet Limited,INE850D01014,NSE,13317.12,Small Cap
BBTC,The Bombay Burmah Trading Corporation Ltd.,INE050A01025,NSE,13254.97,Small Cap
CYIENT,Cyient Limited,INE136B01020,NSE,13216.71,Small Cap
INDGN,Indegene Limited,INE065X01017,NSE,13214.2,Small Cap
AAVAS,AAVAS Financiers Limited,INE216P01012,NSE,13171.39,Small Cap
MINDACORP,Minda Corporation Limited,INE842C01021,NSE,13121.06,Small Cap
BELRISE,BELRISE INDUSTRIES LIMITED,INE894V01022,NSE,13107.03,Small Cap
JPPOWER,Jaiprakash Power Ventures Limited,INE351F01018,NSE,13058.94,Small Cap
TARIL,Transformers and Rectifiers (India) Limited,INE763I01026,NSE,13005.38,Small Cap
NEWGEN,Newgen Software Technologies Limited,INE619B01017,NSE,12925.94,Small Cap
ANURAS,Anupam Rasayan India Limited,INE930P01018,NSE,12895.63,Small Cap
GRANULES,Granules India Ltd.,INE101D01020,NSE,12803.66,Small Cap
HOMEFIRST,Home First Finance Company India Limited,INE481N01025,NSE,12791.17,Small Cap
GRAVITA,GRAVITA INDIA LIMITED,INE024L01027,NSE,12785.21,Small Cap
MGL,Mahanagar Gas Limited,INE002S01010,NSE,12769.17,Small Cap
USHAMART,Usha Martin Ltd.,INE228A01035,NSE,12708.59,Small Cap
TEGA,Tega Industries Limited,INE011K01018,NSE,12689.61,Small Cap
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018,NSE,12684.47,Small Cap
VTL,Vardhman Textiles Limted,INE825A01020,NSE,12678.56,Small Cap
NCC,NCC Limited,INE868B01028,NSE,12650.09,Small Cap
FINCABLES,Finolex Cables Ltd.,INE235A01022,NSE,12636.4,Small Cap
ACE,Action Construction Equipments Ltd.,INE731H01025,NSE,12619.19,Small Cap
SKFINDUS,SKF INDIA (INDUSTRIAL) LIMITED,INE2J8701016,NSE,12617.93,Small Cap
EMBDL,EMBASSY DEVELOPMENTS LIMITED,INE069I01010,NSE,12573.46,Small Cap
ELECON,Elecon Engineering Co.Ltd.,INE205B01031,NSE,12486.37,Small Cap
JINDALSAW,Jindal Saw Ltd.,INE324A01032,NSE,12425.99,Small Cap
WELSPUNLIV,WELSPUN LIVING LIMITED,INE192B01031,NSE,12330.72,Small Cap
NSLNISP,NMDC Steel Limited,INE0NNS01018,NSE,12250.22,Small Cap
ACUTAAS,ACUTAAS CHEMICALS LIMITED,INE00FF01025,NSE,12190.94,Small Cap
RITES,RITES Limited,INE320J01015,NSE,12178.21,Small Cap
CCL,CCL Products (India) Ltd.,INE421D01022,NSE,12165.04,Small Cap
FINPIPE,Finolex Industries Ltd.,INE183A01024,NSE,12093.44,Small Cap
SAMMAANCAP,Sammaan Capital Limited,INE148I01020,NSE,12088.26,Small Cap
INGERRAND,Ingersoll-Rand (India) Ltd.,INE177A01018,NSE,12067.59,Small Cap
INDIACEM,India Cements Ltd.,INE383A01012,NSE,12015.52,Small Cap
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,NSE,11961.67,Small Cap
CARTRADE,CarTrade Tech Limited,INE290S01011,NSE,11959.93,Small Cap
CHENNPETRO,Chennai Petroleum Corporation Ltd.,INE178A01016,NSE,11919.24,Small Cap
TSFINV,TSF Investments Ltd.,INE202Z01029,NSE,11907.24,Small Cap
SBFC,SBFC Finance Limited,INE423Y01016,NSE,11880.57,Small Cap
CANHLIFE,Canara HSBC Life Insurance Company Limited,INE01TY01017,NSE,11800.84,Small Cap
RAILTEL,RailTel Corporation of India Limited,INE0DD101019,NSE,11782.9,Small Cap
CLEAN,Clean Science and Technology Limited,INE227W01023,NSE,11732.12,Small Cap
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020,NSE,11721.11,Small Cap
JYOTHYLAB,JYOTHY LABS LIMITED,INE668F01031,NSE,11720.07,Small Cap
SHRIPISTON,SHRIRAM PISTONS & RINGS LTD,INE526E01018,NSE,11710.5,Small Cap
ALIVUS,ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,NSE,11606.04,Small Cap
ENGINERSIN,Engineers India Ltd.,INE510A01028,NSE,11602.13,Small Cap
J&KBANK,Jammu and Kashmir Bank Ltd.,INE168A01041,NSE,11564.86,Small Cap
OLECTRA,OLECTRA GREENTECH LIMITED,INE260D01016,NSE,11559.15,Small Cap
GRINFRA,G R Infraprojects Limited,INE201P01022,NSE,11555.74,Small Cap
SANOFI,Sanofi India Ltd,INE058A01010,NSE,11412.18,Small Cap
JUBLINGREA,Jubilant Ingrevia Limited,INE0BY001018,NSE,11410.91,Small Cap
SANOFICONR,Sanofi Consumer Healthcare India Limited,INE0UOS01011,NSE,11297.34,Small Cap
EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,NSE,11219.3,Small Cap
WAAREERTL,WAAREE RENEWABLE TECHNOLOGIES LIMITED,INE299N01021,NSE,11171.82,Small Cap
RELAXO,Relaxo Footwears Ltd.,INE131B01039,NSE,11144.85,Small Cap
PRUDENT,Prudent Corporate Advisory Services Limited,INE00F201020,NSE,11144.07,Small Cap
VIKRAMSOLR,Vikram Solar Limited,INE078V01014,NSE,11036.27,Small Cap
TTML,Tata Teleservices (Maharashtra) Ltd.,INE517B01013,NSE,11030.14,Small Cap
CANFINHOME,Can Fin Homes Ltd.,INE477A01020,NSE,10932.6,Small Cap
BSOFT,BIRLASOFT LIMITED,INE836A01035,NSE,10898.59,Small Cap
GRAPHITE,Graphite India Ltd.,INE371A01025,NSE,10877.06,Small Cap
JKTYRE,JK Tyre & Industries Ltd.,INE573A01042,NSE,10822.73,Small Cap
BLACKBUCK,BlackBuck Limited,INE0UIZ01018,NSE,10777.45,Small Cap
ZEEL,Zee Entertainment Enterprises Ltd.,INE256A01028,NSE,10743.67,Small Cap
SAFARI,Safari Industries (India) Ltd.,INE429E01023,NSE,10741.33,Small Cap
INOXINDIA,INOX India Limited,INE616N01034,NSE,10690.61,Small Cap
HFCL,HFCL LIMITED,INE548A01028,NSE,10686.68,Small Cap
RUBICON,RUBICON RESEARCH LIMITED,INE506V01022,NSE,10637.82,Small Cap
PVRINOX,PVR INOX LIMITED,INE191H01014,NSE,10616.81,Small Cap
JKLAKSHMI,JK Lakshmi Cement Limited,INE786A01032,NSE,10568.44,Small Cap
SCI,Shipping Corporation Of India Ltd,INE109A01011,NSE,10561.84,Small Cap
VIJAYA,Vijaya Diagnostic Centre Limited,INE043W01024,NSE,10550.68,Small Cap
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,INE959A01019,NSE,10532.08,Small Cap
SONATSOFTW,Sonata Software Ltd.,INE269A01021,NSE,10505.85,Small Cap
AETHER,Aether Industries Limited,INE0BWX01014,NSE,10421.83,Small Cap
AZAD,Azad Engineering Limited,INE02IJ01035,NSE,10421.52,Small Cap
NAZARA,Nazara Technologies Limited,INE418L01047,NSE,10419.83,Small Cap
EDELWEISS,Edelweiss Financial Services Ltd.,INE532F01054,NSE,10411.38,Small Cap
METROPOLIS,Metropolis Healthcare Limited,INE112L01020,NSE,10326.35,Small Cap
IXIGO,Le Travenues Technology Limited,INE0HV901016,NSE,10323.29,Small Cap
LLOYDSENT,LLOYDS ENTERPRISES LIMITED,INE080I01025,NSE,10254.95,Small Cap
BALRAMCHIN,Balrampur Chini Mills Ltd.,INE119A01028,NSE,10252.75,Small Cap
VESUVIUS,Vesuvius India Ltd.,INE386A01023,NSE,10245.99,Small Cap
WESTLIFE,WESTLIFE FOODWORLD LIMITED,INE274F01020,NSE,10239.74,Small Cap
RKFORGE,ramkrishna forgings Ltd.,INE399G01023,NSE,10237.08,Small Cap
GENUSPOWER,Genus Power Infrastructures Ltd,INE955D01029,NSE,10142.42,Small Cap
STARCEMENT,Star Cement Limited,INE460H01021,NSE,10112.38,Small Cap
HEG,HEG Ltd.,INE545A01024,NSE,10079.19,Small Cap
PGHL,PROCTER & GAMBLE HEALTH LIMITED,INE199A01012,NSE,10015.49,Small Cap
TIMETECHNO,Time Technoplast Limited,INE508G01029,NSE,10000.56,Small Cap
RELINFRA,Reliance Infrastructure Ltd,INE036A01016,NSE,9995.01,Small Cap
TEJASNET,Tejas Networks Limited,INE010J01012,NSE,9993.56,Small Cap
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,INE150B01039,NSE,9990.72,Small Cap
SHAILY,Shaily Engineering Plastics Ltd.,INE151G01028,NSE,9987.37,Small Cap
BANCOINDIA,Banco Products (India) Ltd.,INE213C01025,NSE,9931.98,Small Cap
RRP,RRP SEMICONDUCTOR LIMITED,INE713N01013,BSE,9902.7,Small Cap
AVANTIFEED,Avanti Feeds ltd.,INE871C01038,NSE,9879.4,Small Cap
IIFLCAPS,IIFL CAPITAL SERVICES LIMITED,INE489L01022,NSE,9860.51,Small Cap
SHAKTIPUMP,Shakti Pumps (India) Ltd.,INE908D01010,NSE,9856.96,Small Cap
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,NSE,9832.09,Small Cap
MEDPLUS,Medplus Health Services Limited,INE804L01022,NSE,9823.05,Small Cap
SKFINDIA,SKF India Ltd.,INE640A01023,NSE,9785.0,Small Cap
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,NSE,9755.82,Small Cap
MMTC,MMTC Ltd.,INE123F01029,NSE,9732.37,Small Cap
SUDARSCHEM,Sudarshan Chemical Indus. Ltd.,INE659A01023,NSE,9732.06,Small Cap
RHIM,RHI MAGNESITA INDIA LIMITED,INE743M01012,NSE,9722.33,Small Cap
AEQUS,Aequs Limited,INE947N01017,NSE,9688.59,Small Cap
INDIASHLTR,India Shelter Finance Corporation Limited,INE922K01024,NSE,9618.84,Small Cap
ASTRAMICRO,Astra Microwave Products Ltd.,INE386C01029,NSE,9592.83,Small Cap
KPIGREEN,KPI Green Energy Limited,INE542W01025,NSE,9517.72,Small Cap
TRANSRAILL,Transrail Lighting Limited,INE454P01035,NSE,9513.28,Small Cap
KAMAHOLD,Kama Holdings Limited,INE411F01010,NSE,9505.36,Small Cap
BIRLACORPN,Birla Corporation Ltd.,INE340A01012,NSE,9493.02,Small Cap
SAPPHIRE,Sapphire Foods India Limited,INE806T01020,NSE,9451.6,Small Cap
MAPMYINDIA,C.E. Info Systems Limited,INE0BV301023,NSE,9436.57,Small Cap
UJJIVANSFB,Ujjivan Small Finance Bank Limited,INE551W01018,NSE,9432.06,Small Cap
HCG,HealthCare Global Enterprises Limited,INE075I01017,NSE,9414.26,Small Cap
NESCO,Nesco Ltd,INE317F01035,NSE,9356.29,Small Cap
HAPPYFORGE,Happy Forgings Limited,INE330T01021,NSE,9253.61,Small Cap
HONASA,Honasa Consumer Limited,INE0J5401028,NSE,9245.61,Small Cap
KRBL,KRBL Ltd.,INE001B01026,NSE,9180.07,Small Cap
JSLL,Jeena Sikho Lifecare Limited,INE0J5801029,NSE,9140.19,Small Cap
VARROC,Varroc Engineering Limited,INE665L01035,NSE,9139.36,Small Cap
SANSERA,Sansera Engineering Limited,INE953O01021,NSE,9113.45,Small Cap
LATENTVIEW,Latent View Analytics Limited,INE0I7C01011,NSE,9085.14,Small Cap
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,NSE,9026.31,Small Cap
WABAG,VA Tech Wabag Limited,INE956G01038,NSE,9013.5,Small Cap
TI,Tilaknagar Industries Ltd,INE133E01013,NSE,9009.23,Small Cap
BENGALASM,Bengal & Assam Company Limited,INE083K01017,NSE,8958.97,Small Cap
ALOKINDS,Alok Industries Ltd.,INE270A01029,NSE,8930.3,Small Cap
SANDUMA,Sandur Manganese & Iron Ores Ltd.,INE149K01016,NSE,8927.55,Small Cap
TTKPRESTIG,TTK Prestige Ltd.,INE690A01028,NSE,8856.33,Small Cap
MARKSANS,Marksans Pharma Ltd.,INE750C01026,NSE,8843.08,Small Cap
TCI,Transport Corporation of India Ltd,INE688A01022,NSE,8828.98,Small Cap
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,INE093R01011,NSE,8823.69,Small Cap
BBOX,BLACK BOX LIMITED,INE676A01027,NSE,8799.66,Small Cap
POWERMECH,Power Mech Projects Limited,INE211R01019,NSE,8794.22,Small Cap
ORKLAINDIA,Orkla India Limited,INE16NZ01023,NSE,8782.24,Small Cap
SOUTHBANK,South Indian Bank Ltd.,INE683A01023,NSE,8751.34,Small Cap
LOTUSDEV,Sri Lotus Developers and Realty Limited,INE0V9Q01010,NSE,8688.08,Small Cap
JAIBALAJI,Jai Balaji Industries Limited,INE091G01026,NSE,8648.49,Small Cap
SAREGAMA,Saregama India Ltd.,INE979A01025,NSE,8635.66,Small Cap
KIRLFER,Kirloskar Ferrous Industries Ltd.,INE884B01025,NSE,8620.59,Small Cap
PCJEWELLER,PC JEWELLER LIMITED,INE785M01021,NSE,8540.57,Small Cap
LUMAXTECH,Lumax Auto Technologies Ltd.,INE872H01027,NSE,8476.72,Small Cap
CORONA,Corona Remedies Limited,INE02ZQ01018,NSE,8453.9,Small Cap
TANLA,TANLA PLATFORMS LIMITED,INE483C01032,NSE,8412.33,Small Cap
DBREALTY,VALOR ESTATE LIMITED,INE879I01012,NSE,8402.82,Small Cap
MANORAMA,Manorama Industries Limited,INE00VM01036,NSE,8394.9,Small Cap
ARVIND,Arvind Ltd.,INE034A01011,NSE,8381.28,Small Cap
ELANTAS,Elantas Beck India Ltd,INE280B01018,NSE,8368.91,Small Cap
APOLLO,Apollo Micro Systems Limited,INE713T01028,NSE,8363.64,Small Cap
PNGJL,P N GADGIL JEWELLERS LIMITED,INE953R01016,NSE,8328.88,Small Cap
MAHSEAMLES,Maharashtra Seamless Ltd.,INE271B01025,NSE,8327.67,Small Cap
HAPPSTMNDS,Happiest Minds Technologies Limited,INE419U01012,NSE,8327.38,Small Cap
CAMPUS,Campus Activewear Limited,INE278Y01022,NSE,8325.66,Small Cap
RELIGARE,Religare Enterprises Ltd,INE621H01010,NSE,8325.0,Small Cap
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,NSE,8320.44,Small Cap
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,NSE,8292.91,Small Cap
WEWORK,WeWork India Management Limited,INE085001019,NSE,8223.6,Small Cap
RCF,Rashtriya Chemicals & Fertilizers Limited,INE027A01015,NSE,8221.34,Small Cap
ESABINDIA,Esab India Ltd.,INE284A01012,NSE,8217.72,Small Cap
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED,INE540H01012,NSE,8127.11,Small Cap
STAR,STRIDES PHARMA SCIENCE LIMITED,INE939A01011,NSE,8101.8,Small Cap
GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,NSE,8083.87,Small Cap
MAHLIFE,Mahindra Lifespace Developers Ltd.,INE813A01018,NSE,8034.19,Small Cap
GPPL,Gujarat Pipavav Port Limited,INE517F01014,NSE,8015.14,Small Cap
OSWALPUMPS,Oswal Pumps Limited,INE0BYP01024,NSE,8000.59,Small Cap
SHARDACROP,Sharda Cropchem Limited,INE221J01015,NSE,8000.3,Small Cap
