name,symbol,lot_size
DIXON TECHNO (INDIA) LTD,DIXON.NS,50
DR. REDDY S LABORATORIES,DRREDDY.NS,625
PNB HOUSING FIN LTD.,PNBHOUSING.NS,650
ETERNAL LIMITED,ETERNAL.NS,2425
REC LIMITED,RECLTD.NS,1575
SBI LIFE INSURANCE CO LTD,SBILIFE.NS,375
GODREJ CONSUMER PRODUCTS,GODREJCP.NS,500
GRASIM INDUSTRIES LTD,GRASIM.NS,250
HAVELLS INDIA LIMITED,HAVELLS.NS,500
SOLAR INDUSTRIES (I) LTD,SOLARINDS.NS,50
HDFC LIFE INS CO LTD,HDFCLIFE.NS,1100
HCL TECHNOLOGIES LTD,HCLTECH.NS,400
SONA BLW PRECISION FRGS L,SONACOMS.NS,1225
SUN PHARMACEUTICAL IND L,SUNPHARMA.NS,350
HINDALCO  INDUSTRIES  LTD,HINDALCO.NS,700
HINDUSTAN ZINC LIMITED,HINDZINC.NS,1225
DABUR INDIA LTD,DABUR.NS,1250
INDIAN BANK,INDIANB.NS,1000
TATA POWER CO LTD,TATAPOWER.NS,1450
VODAFONE IDEA LIMITED,IDEA.NS,71475
TATA STEEL LIMITED,TATASTEEL.NS,2750
INDIAN ENERGY EXC LTD,IEX.NS,4350
ITC LTD,ITC.NS,1725
KOTAK MAHINDRA BANK LTD,KOTAKBANK.NS,2000
TVS MOTOR COMPANY  LTD,TVSMOTOR.NS,175
UNION BANK OF INDIA,UNIONBANK.NS,4425
UNITED SPIRITS LIMITED,UNITDSPR.NS,400
L&T FINANCE LIMITED,LTF.NS,2250
MAHINDRA & MAHINDRA LTD,M&M.NS,200
ONE 97 COMMUNICATIONS LTD,PAYTM.NS,725
MANKIND PHARMA LIMITED,MANKIND.NS,250
PI INDUSTRIES LTD,PIIND.NS,175
MARUTI SUZUKI INDIA LTD.,MARUTI.NS,50
MAX HEALTHCARE INS LTD,MAXHEALTH.NS,525
MULTI COMMODITY EXCHANGE,MCX.NS,225
PRESTIGE ESTATE LTD,PRESTIGE.NS,450
MAX FINANCIAL SERV LTD,MFSL.NS,400
RELIANCE INDUSTRIES LTD,RELIANCE.NS,500
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,6150
MPHASIS LIMITED,MPHASIS.NS,275
SBI CARDS & PAY SER LTD,SBICARD.NS,800
MUTHOOT FINANCE LIMITED,MUTHOOTFIN.NS,275
STATE BANK OF INDIA,SBIN.NS,750
NHPC LTD,NHPC.NS,6950
FSN E COMMERCE VENTURES,NYKAA.NS,3125
TATA CONSULTANCY SERV LT,TCS.NS,225
OIL INDIA LTD,OIL.NS,1400
OIL AND NATURAL GAS CORP.,ONGC.NS,2250
UPL LIMITED,UPL.NS,1355
POWER FIN CORP LTD.,PFC.NS,1300
PIDILITE INDUSTRIES LTD,PIDILITIND.NS,500
POLYCAB INDIA LIMITED,POLYCAB.NS,125
ALKEM LABORATORIES LTD.,ALKEM.NS,125
RBL BANK LIMITED,RBLBANK.NS,3175
RAIL VIKAS NIGAM LIMITED,RVNL.NS,1925
SIEMENS LTD,SIEMENS.NS,175
SUPREME INDUSTRIES LTD,SUPREMEIND.NS,175
SUZLON ENERGY LIMITED,SUZLON.NS,12700
TATA MOTORS LIMITED,TMPV.NS,1600
NATIONAL ALUMINIUM CO LTD,NATIONALUM.NS,1875
TECH MAHINDRA LIMITED,TECHM.NS,600
TUBE INVEST OF INDIA LTD,TIINDIA.NS,200
TITAN COMPANY LIMITED,TITAN.NS,175
PERSISTENT SYSTEMS LTD,PERSISTENT.NS,125
VEDANTA LIMITED,VEDL.NS,1150
VOLTAS LTD,VOLTAS.NS,375
YES BANK LIMITED,YESBANK.NS,31100
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE.NS,900
WIPRO LTD,WIPRO.NS,3000
FORTIS HEALTHCARE LTD,FORTIS.NS,775
BAJAJ FINANCE LIMITED,BAJFINANCE.NS,750
CIPLA LTD,CIPLA.NS,425
GODREJ PROPERTIES LTD,GODREJPROP.NS,325
PB FINTECH LIMITED,POLICYBZR.NS,350
MAZAGON DOCK SHIPBUIL LTD,MAZDOCK.NS,225
INDIAN RENEWABLE ENERGY,IREDA.NS,4525
